Num,EUI-M,EUI,Device,Date,Time,Status,Description,,,,
1,25354,D56EF450F2,2510V1.2,09/07/2026,09:47:05,Ok,,,,,
2,25354,365874DBF3,2510V1.2,09/07/2026,15:48:46,Repaired,Ok_was_on_2026-07-09_10:00:27,Defected_was_on_2026-07-09_11:39:03,,,
3,25354,E3045B1FF1,2510V1.2,09/07/2026,12:23:18,Repaired,Defected_was_on_2026-07-09_10:33:20,,,,
4,25354,900D601EF0,2510V1.2,09/07/2026,14:23:01,Repaired,Defected_was_on_2026-07-09_10:51:36,Repaired_was_on_2026-07-09_10:57:10,Defected_was_on_2026-07-09_12:05:00,Repaired_was_on_2026-07-09_12:18:13,Defected_was_on_2026-07-09_14:18:58
5,25354,99F1E95B14,2510V1.2,09/07/2026,12:29:23,Repaired,Defected_was_on_2026-07-09_11:01:31,,,,
6,25354,7DBE5CBFF1,2510V1.2,09/07/2026,12:20:39,Repaired,Defected_was_on_2026-07-09_11:30:38,,,,
7,25354,DF5FD10D2D,2510V1.2,09/07/2026,11:57:13,Ok,,,,,
8,25354,2A822A3BF0,2510V1.2,09/07/2026,12:36:23,Ok,,,,,
9,25354,B59C4DE0F3,2510V1.2,09/07/2026,12:50:07,Ok,,,,,
10,25354,175EB0D4F2,2510V1.2,09/07/2026,12:53:13,Ok,,,,,
11,25354,8BF7D927F1,2510V1.2,09/07/2026,13:02:34,Repaired,Defected_was_on_2026-07-09_13:01:17,,,,
12,25354,A64B0D14F3,2510V1.2,09/07/2026,14:58:26,Repaired,Ok_was_on_2026-07-09_13:06:57,Defected_was_on_2026-07-09_14:47:16,,,
13,25354,C6B9B4A4F2,2510V1.2,09/07/2026,14:43:25,Repaired,Ok_was_on_2026-07-09_12:51:34,Defected_was_on_2026-07-09_12:53:46,,,
14,25354,21852ACCF5,2510V1.2,09/07/2026,15:53:52,Ok,,,,,
15,25354,734CDF17FE,2510V1.2,09/07/2026,15:59:35,Ok,,,,,
16,25354,3470F1F214,2510V1.2,09/07/2026,16:12:32,Ok,,,,,
17,25354,8F4CF293F3,2510V1.2,09/07/2026,16:15:54,Ok,,,,,
18,25354,ADFD38B4F2,2510V1.2,09/07/2026,16:19:24,Ok,,,,,
19,25354,593596AE28,2510V1.2,15/07/2026,09:03:51,Ok,,,,,
20,20000,0,2510V1.2,15/07/2026,09:07:18,Defected,,,,,
21,25354,35C3B8B6F3,2510V1.2,15/07/2026,09:16:38,Ok,,,,,
22,25354,0489F020F2,2510V1.2,15/07/2026,09:19:30,Ok,,,,,
23,25354,982099D3F1,2510V1.2,15/07/2026,09:30:04,Ok,,,,,
24,25354,08681DDBFE,2510V1.2,15/07/2026,09:35:32,Ok,,,,,
25,25354,5A10DD57F1,2510V1.2,15/07/2026,09:41:57,Ok,,,,,
26,25354,CC39A4AE29,2510V1.2,15/07/2026,09:49:17,Ok,,,,,
27,25354,D458D1FA28,2510V1.2,15/07/2026,09:54:19,Ok,,,,,
28,25354,A474A102F0,2510V1.2,15/07/2026,09:58:21,Ok,,,,,
29,25354,7E9B174628,2510V1.2,17/07/2026,12:33:18,Repaired,Ok_was_on_2026-07-15_10:01:42,Defected_was_on_2026-07-17_11:54:45,,,
30,25354,49C79DA3F1,2510V1.2,15/07/2026,10:08:16,Ok,,,,,
31,25354,1EFBEB27F0,2510V1.2,15/07/2026,10:11:57,Ok,,,,,
32,25354,05B06749F5,2510V1.2,15/07/2026,10:15:24,Ok,,,,,
33,25354,A8E2737BF3,2510V1.2,15/07/2026,10:20:17,Ok,,,,,
34,25354,81E58CFCF3,2510V1.2,15/07/2026,10:25:07,Ok,,,,,
35,25354,258F342FF3,2510V1.2,15/07/2026,10:28:20,Ok,,,,,
36,25354,2211546228,2510V1.2,15/07/2026,10:31:18,Ok,,,,,
37,25354,609B9FE3FE,2510V1.2,15/07/2026,10:38:51,Ok,,,,,
38,25354,88D292DE28,2510V1.2,15/07/2026,10:46:51,Ok,,,,,
39,25354,BCAB53C228,2510V1.2,15/07/2026,10:51:28,Ok,,,,,
40,25354,5EABF6E3F3,2510V1.2,15/07/2026,10:54:25,Ok,,,,,
41,25354,0221B5C7F3,2510V1.2,15/07/2026,10:58:00,Ok,,,,,
42,25354,6164025FF2,2510V1.2,15/07/2026,11:03:08,Ok,,,,,
43,25354,3FC6C45215,2510V1.2,15/07/2026,11:08:02,Ok,,,,,
44,25354,E8B26EBFF0,2510V1.2,15/07/2026,11:11:12,Ok,,,,,
45,25354,EB97254629,2510V1.2,15/07/2026,11:14:42,Ok,,,,,
46,25354,39556ACFF0,2510V1.2,15/07/2026,11:17:41,Ok,,,,,
47,25354,E117354CF2,2510V1.2,15/07/2026,11:21:53,Ok,,,,,
48,25354,BF8E183BF1,2510V1.2,15/07/2026,11:25:29,Ok,,,,,
49,25354,31C9A655F5,2510V1.2,15/07/2026,11:29:02,Ok,,,,,
50,25354,0D2CABD3F0,2510V1.2,15/07/2026,11:31:57,Ok,,,,,
51,25354,AC5958CFF1,2510V1.2,15/07/2026,11:35:27,Ok,,,,,
52,25354,31C6149628,2510V1.2,15/07/2026,11:38:17,Ok,,,,,
53,25354,D77D9A03F1,2510V1.2,15/07/2026,11:41:11,Ok,,,,,
54,25354,8A26A9AF14,2510V1.2,15/07/2026,11:44:02,Ok,,,,,
55,25354,F791C5FEF1,2510V1.2,15/07/2026,11:46:54,Ok,,,,,
56,25354,C731169AF1,2510V1.2,15/07/2026,11:53:11,Ok,,,,,
57,25354,6D4C57B228,2510V1.2,15/07/2026,11:56:28,Ok,,,,,
58,25354,CF1CEF57F0,2510V1.2,15/07/2026,11:59:27,Ok,,,,,
59,25354,FAC14E30F3,2510V1.2,15/07/2026,12:02:21,Ok,,,,,
60,25354,F0D31BEBF1,2510V1.2,15/07/2026,12:05:17,Ok,,,,,
61,25354,A7EF6D6FF0,2510V1.2,15/07/2026,12:08:08,Ok,,,,,
62,25354,BE2A7840F2,2510V1.2,15/07/2026,12:11:10,Ok,,,,,
63,25354,BE5F68B314,2510V1.2,15/07/2026,12:14:08,Ok,,,,,
64,25354,9396AC73F0,2510V1.2,15/07/2026,12:27:50,Repaired,Defected_was_on_2026-07-15_12:15:55,,,,
65,25354,9C9BB267F3,2510V1.2,15/07/2026,12:19:07,Ok,,,,,
66,25354,9B05D22A28,2510V1.2,15/07/2026,12:22:05,Ok,,,,,
67,25354,FB652E4BF0,2510V1.2,15/07/2026,12:25:02,Ok,,,,,
68,25354,4AE2D65A28,2510V1.2,15/07/2026,12:31:02,Ok,,,,,
69,25354,5735466A15,2510V1.2,15/07/2026,12:34:03,Ok,,,,,
70,25354,BB35338FF3,2510V1.2,15/07/2026,12:36:58,Ok,,,,,
71,25354,1.67E+34,2510V1.2,15/07/2026,12:39:52,Ok,,,,,
72,25354,44AED266FE,2510V1.2,15/07/2026,12:45:22,Repaired,Defected_was_on_2026-07-15_12:42:01,,,,
74,25354,F84065B229,2510V1.2,15/07/2026,12:59:12,Ok,,,,,
74,25354,E09F9772F1,2510V1.2,15/07/2026,13:02:43,Ok,,,,,
75,25354,CC8891F92D,2510V1.2,15/07/2026,13:05:37,Ok,,,,,
76,25354,DFEEE45A29,2510V1.2,15/07/2026,13:08:26,Ok,,,,,
77,25354,F468305FF3,2510V1.2,15/07/2026,13:11:35,Ok,,,,,
78,25354,BDB1B42DF2,2510V1.2,15/07/2026,13:14:26,Ok,,,,,
79,25354,9984F9A8F2,2510V1.2,15/07/2026,13:20:14,Ok,,,,,
80,25354,232771C8F2,2510V1.2,15/07/2026,13:23:23,Ok,,,,,
81,25354,4D7CB617F3,2510V1.2,15/07/2026,13:26:21,Ok,,,,,
82,25354,2C1184A615,2510V1.2,15/07/2026,13:29:37,Ok,,,,,
83,25354,2614F842F3,2510V1.2,15/07/2026,13:32:33,Ok,,,,,
84,25354,57799292FE,2510V1.2,15/07/2026,13:35:27,Ok,,,,,
85,25354,B7AC53352D,2510V1.2,15/07/2026,14:05:00,Ok,,,,,
86,25354,A47B13C12D,2510V1.2,15/07/2026,14:10:52,Ok,,,,,
87,25354,54E25EFFFE,2510V1.2,15/07/2026,14:14:54,Ok,,,,,
88,25354,47351E0BFE,2510V1.2,15/07/2026,14:18:29,Ok,,,,,
89,25354,AF7C133628,2510V1.2,15/07/2026,14:22:32,Ok,,,,,
90,25354,B7A3E1F6F0,2510V1.2,15/07/2026,14:28:42,Ok,,,,,
91,25354,B4382D9BF0,2510V1.2,15/07/2026,14:32:09,Ok,,,,,
92,25354,A4CA269629,2510V1.2,15/07/2026,14:35:42,Ok,,,,,
93,25354,9232CC08F3,2510V1.2,15/07/2026,14:40:47,Ok,,,,,
94,25354,221EE6A1F5,2510V1.2,15/07/2026,14:44:34,Ok,,,,,
95,25354,AD88284714,2510V1.2,15/07/2026,14:59:57,Ok,,,,,
96,505300,00BE000000,2510V1.2,16/07/2026,08:15:53,Defected,,,,,
97,FD00FF,0,2510V1.2,16/07/2026,08:18:37,Defected,,,,,
98,FD0000,0,2510V1.2,17/07/2026,07:49:22,Defected,,,,,
99,25354,D4E6566EF1,2510V1.2,17/07/2026,10:01:52,Ok,,,,,
100,25354,30F0313CF2,2510V1.2,17/07/2026,10:13:00,Ok,,,,,
101,25354,1BBF5D2FFE,2510V1.2,17/07/2026,10:17:58,Ok,,,,,
102,505300,00F4000000,2510V1.2,18/07/2026,09:26:48,Defected,,,,,
103,25354,DB55CFEE2B,2510V1.2,30/07/2026,15:18:17,Ok,,,,,
104,25354,C2DE21482B,2510V1.2,31/07/2026,07:52:26,Repaired,Defected_was_on_2026-07-31_06:13:53,,,,
105,25354,4B084DA829,2510V1.2,31/07/2026,07:59:49,Ok,,,,,
106,25354,2AB9C14114,2510V1.2,31/07/2026,08:13:48,Ok,,,,,
107,25354,EF2C0EF22B,2510V1.2,31/07/2026,08:21:14,Ok,,,,,
108,25354,5B0A3AB82B,2510V1.2,31/07/2026,08:27:06,Ok,,,,,
109,25354,A0710D222B,2510V1.2,04/08/2026,12:53:41,Repaired,Defected_was_on_2026-07-31_08:34:07,,,,
110,25354,17820E8C29,2510V1.2,04/08/2026,11:51:44,Repaired,Defected_was_on_2026-07-31_08:46:16,,,,
111,25354,C93E749D11,2510V1.2,31/07/2026,08:50:29,Ok,,,,,
112,25354,92AD146B1E,2510V1.2,31/07/2026,08:52:23,Ok,,,,,
113,25354,CECD9FDF15,2510V1.2,31/07/2026,09:03:54,Ok,,,,,
114,25354,2CF6D1842A,2510V1.2,31/07/2026,09:08:11,Ok,,,,,
115,25354,4F4CA8C22D,2510V1.2,31/07/2026,09:17:03,Ok,,,,,
116,25354,CE27574F1E,2510V1.2,31/07/2026,09:21:23,Ok,,,,,
117,25354,5C9BE8362D,2510V1.2,31/07/2026,09:31:56,Ok,,,,,
118,25354,57D213482A,2510V1.2,31/07/2026,09:40:34,Ok,,,,,
119,25354,87DF8CCA2B,2510V1.2,31/07/2026,09:45:08,Ok,,,,,
120,25354,9FBEF99E2A,2510V1.2,31/07/2026,09:49:41,Ok,,,,,
121,25354,5D1CF8CBF3,2510V1.2,31/07/2026,10:10:08,Ok,,,,,
122,25354,5D8EBD1A2A,2510V1.2,31/07/2026,10:14:21,Ok,,,,,
123,25354,7CA4BB502B,2510V1.2,31/07/2026,10:12:16,Ok,,,,,
124,25354,4ECBB83FF3,2510V1.2,04/08/2026,11:45:00,Repaired,Defected_was_on_2026-07-31_10:17:48,,,,
125,25354,F72F426A28,2510V1.2,31/07/2026,10:35:35,Ok,,,,,
126,25354,45EFC84E2B,2510V1.2,31/07/2026,10:40:13,Ok,,,,,
127,25354,32ADA4E6F3,2510V1.2,03/08/2026,06:51:58,Ok,,,,,
128,25354,C8828F1A2B,2510V1.2,03/08/2026,06:56:51,Ok,,,,,
129,25354,817A549F1E,2510V1.2,03/08/2026,07:02:35,Ok,,,,,
130,25354,C0CD4F1B28,2510V1.2,03/08/2026,07:06:35,Ok,,,,,
131,25354,34C1C4A510,2510V1.2,03/08/2026,07:11:59,Ok,,,,,
133,25354,8C69B96A2A,2510V1.2,03/08/2026,07:27:06,Defected,,,,,
133,25354,4E59FDEE2A,2510V1.2,03/08/2026,07:31:07,Ok,,,,,
134,25354,B8823DA7F3,2510V1.2,03/08/2026,07:36:20,Ok,,,,,
135,25354,F9A763F21C,2510V1.2,03/08/2026,07:42:38,Ok,,,,,
137,25354,8D5F9CC0F0,2510V1.2,03/08/2026,07:56:16,Ok,,,,,
137,25354,9F2CBC4FF3,2510V1.2,03/08/2026,08:03:50,Ok,,,,,
138,25354,8CFBFCBBF3,2510V1.2,03/08/2026,08:10:14,Ok,,,,,
139,25354,19658B6A2B,2510V1.2,03/08/2026,08:15:43,Ok,,,,,
140,25354,7A203CF22A,2510V1.2,03/08/2026,08:19:52,Ok,,,,,
141,25354,D31A0FEF28,2510V1.2,06/08/2026,10:32:16,Repaired,Defected_was_on_2026-08-03_08:28:26,,,,
142,25354,357D3F222A,2510V1.2,03/08/2026,08:34:01,Ok,,,,,
143,25354,22E1287FF3,2510V1.2,03/08/2026,08:54:11,Ok,,,,,
144,25354,FA3CAF9F1C,2510V1.2,03/08/2026,09:15:19,Ok,,,,,
145,25354,0AB2CB9E2B,2510V1.2,03/08/2026,09:20:19,Ok,,,,,
146,25354,69F77C062A,2510V1.2,03/08/2026,09:29:13,Ok,,,,,
147,25354,696539D7F3,2510V1.2,03/08/2026,09:34:58,Ok,,,,,
148,25354,9E88DC34F0,2510V1.2,03/08/2026,09:49:20,Ok,,,,,
149,25354,6F73FBA42B,2510V1.2,03/08/2026,09:54:56,Ok,,,,,
150,25354,0032DB94F0,2510V1.2,03/08/2026,10:00:00,Ok,,,,,
151,25354,86E9A960F1,2510V1.2,03/08/2026,10:06:20,Ok,,,,,
152,25354,7AB27923F3,2510V1.2,03/08/2026,10:11:45,Ok,,,,,
153,25354,06D465FAF3,2510V1.2,03/08/2026,10:16:34,Ok,,,,,
154,25354,4FB3661C2B,2510V1.2,03/08/2026,10:22:30,Ok,,,,,
155,25354,C356837628,2510V1.2,03/08/2026,10:28:59,Ok,,,,,
156,25354,536938FC28,2510V1.2,03/08/2026,10:34:53,Ok,,,,,
157,25354,64E491F31E,2510V1.2,03/08/2026,10:49:33,Ok,,,,,
158,25354,E570A0A02B,2510V1.2,03/08/2026,10:55:06,Ok,,,,,
159,25354,26AA7FD62A,2510V1.2,03/08/2026,11:12:22,Ok,,,,,
160,25354,18D970ED11,2510V1.2,03/08/2026,11:24:27,Ok,,,,,
161,25354,B03D81BB2B,2510V1.2,03/08/2026,11:38:44,Ok,,,,,
162,25354,D1D5DFE4F0,2510V1.2,03/08/2026,11:45:46,Ok,,,,,
163,25354,91597C7828,2510V1.2,03/08/2026,11:51:43,Ok,,,,,
164,25354,2C9B5A8BF5,2510V1.2,03/08/2026,11:59:30,Ok,,,,,
165,25354,5F00245B2D,2510V1.2,03/08/2026,12:41:43,Ok,,,,,
166,25354,CDB106902A,2510V1.2,03/08/2026,12:47:41,Ok,,,,,
167,25354,B9265DDCF0,2510V1.2,03/08/2026,12:56:53,Ok,,,,,
168,25354,AB557D53F3,2510V1.2,03/08/2026,13:03:32,Ok,,,,,
169,25354,63776C0CF1,2510V1.2,03/08/2026,13:13:36,Ok,,,,,
170,25354,3CD7D612F5,2510V1.2,03/08/2026,13:20:04,Ok,,,,,
171,25354,160731001E,2510V1.2,03/08/2026,13:28:18,Ok,,,,,
172,25354,F7DF3E77F3,2510V1.2,03/08/2026,13:35:30,Ok,,,,,
173,25354,375A08C810,2510V1.2,03/08/2026,13:43:29,Ok,,,,,
174,25354,133925382B,2510V1.2,03/08/2026,13:50:40,Ok,,,,,
175,25354,159CFD6D1E,2510V1.2,03/08/2026,13:59:29,Ok,,,,,
176,25354,509D50EF1E,2510V1.2,03/08/2026,14:05:01,Ok,,,,,
177,25354,EE90F57511,2510V1.2,03/08/2026,14:11:43,Ok,,,,,
178,25354,40BE780828,2510V1.2,03/08/2026,14:17:29,Ok,,,,,
179,25354,B50395831E,2510V1.2,03/08/2026,14:22:29,Ok,,,,,
180,25354,7733D1071E,2510V1.2,03/08/2026,14:28:08,Ok,,,,,
181,25354,DA63EA44F1,2510V1.2,03/08/2026,14:36:31,Ok,,,,,
