Num,EUI-M,EUI,Device,Date,Time,Status,Description
0001,025354,89ACBC2D0D,2510V1.1,2026-05-22,13:13:28,,15
0002,000000,0000000000,2510V1.1,2026-05-22,13:15:47,,24
0003,000000,0000000000,2510V1.1,2026-05-22,13:16:08,,24
0004,025354,6C3279410D,2510V1.1,2026-05-22,13:17:46,,8
0005,000000,0000000000,2510V1.1,2026-05-22,13:23:20,,24
0006,000000,0000000000,2510V1.1,2026-05-22,13:23:33,,24
0007,025354,6C3279410D,2510V1.1,2026-05-22,13:27:52,,0
0008,025354,6C3279410D,2510V1.1,2026-05-22,13:36:11,,0
0009,025354,6C3279410D,2510V1.1,2026-05-22,13:48:03,,0
0010,025354,6C3279410D,2510V1.1,2026-05-22,14:46:24,,0
