time,voltage
1,10.8
1,10.8
1,10.7
2,10.7
2,10.7
3,10.7
3,10.6
3,10.6
4,10.6
4,10.6
4,10.5
5,10.5
5,10.5
6,10.4
6,10.4
6,10.4
7,10.4
7,10.4
8,10.3
8,10.3
8,10.3
9,10.2
9,10.2
9,10.2
10,10.2
10,10.1
11,10.1
11,10.1
11,10.1
12,10.0
12,10.0
12,10.0
13,10.0
13,9.9
14,9.9
14,9.9
14,9.9
15,9.8
15,9.8
16,9.8
16,9.8
16,9.7
17,9.7
17,9.7
17,9.6
18,9.6
18,9.6
19,9.6
19,9.5
19,9.5
20,9.5
20,9.4
20,9.4
21,9.4
21,9.4
22,9.3
22,9.3
22,9.3
23,9.3
23,9.2
24,9.2
24,9.2
24,9.1
25,9.1
25,9.1
25,9.1
26,9.0
26,9.0
27,9.0
27,8.9
27,8.9
28,8.9
28,8.9
29,8.8
29,8.8
29,8.8
30,8.7
30,8.7
30,8.7
31,8.6
31,8.6
32,8.6
32,8.6
32,8.5
33,8.5
33,8.5
33,8.4
34,8.4
34,8.4
35,8.3
35,8.3
35,8.3
36,8.2
36,8.2
37,8.2
37,8.1
37,8.1
38,8.1
38,8.0
38,8.0
39,8.0
39,7.9
40,7.9
40,7.9
40,7.8
41,7.8
41,7.8
41,7.7
42,7.7
42,7.7
43,7.6
43,7.6
43,7.6
44,7.5
44,7.5
45,7.4
45,7.4
45,7.4
46,7.3
46,7.3
46,7.3
47,7.2
47,7.2
48,7.1
48,7.1
48,7.1
49,7.0
49,7.0
49,6.9
50,6.9
50,6.9
51,6.8
51,6.8
51,6.7
52,6.7
52,6.7
53,6.6
53,6.6
53,6.5
54,6.5
54,6.4
54,6.4
55,6.4
55,6.3
56,6.3
56,6.2
56,6.2
57,6.1
57,6.1
57,6.0
58,6.0
58,5.9
59,5.9
59,5.8
59,5.8
60,5.7
60,5.7
61,5.6
61,5.6
61,5.5
62,5.5
62,5.4
62,5.4
63,5.3
63,5.3
64,5.2
64,5.1
64,5.1
65,5.0
65,5.0
66,4.9
66,4.8
66,4.8
67,4.7
67,4.6
67,4.6
68,4.5
68,4.4
69,4.4
69,4.3
69,4.2
70,4.3
